epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4735,1.89169,4.39134,2.01987,0.40723,0.26173,0.11015,0.0677,1.76982,9.32585,1.92804,0.000190909,0.000190909,0.000190909
2,71.836,1.62012,3.06835,1.82522,0.36774,0.19801,0.15991,0.09566,1.78335,4.59322,2.07452,0.000388974,0.000388974,0.000388974
3,99.856,1.50982,2.71388,1.74682,0.61185,0.2465,0.19434,0.11345,1.74358,3.90223,2.03852,0.000585059,0.000585059,0.000585059
4,127.481,1.66562,2.72952,1.89837,0.48018,0.27795,0.23206,0.14011,1.93266,4.04699,2.20814,0.000779164,0.000779164,0.000779164
5,154.686,1.66699,2.56443,1.86016,0.5345,0.26852,0.19814,0.1238,1.93841,3.92698,2.18004,0.000971289,0.000971289,0.000971289
6,182.481,1.66169,2.59151,1.88893,0.60067,0.16345,0.11766,0.06776,1.94372,3.66368,2.32668,0.00097525,0.00097525,0.00097525
7,210.028,1.66307,2.66153,1.91457,0.27768,0.35726,0.12411,0.04809,2.14642,3.93564,2.38818,0.0009703,0.0009703,0.0009703
8,238.777,1.68127,2.52736,1.93714,0.6601,0.18605,0.19881,0.09838,2.11806,4.48929,2.3596,0.00096535,0.00096535,0.00096535
9,265.791,1.65511,2.47013,1.8583,0.47105,0.16358,0.12202,0.06887,2.14644,4.20076,2.44902,0.0009604,0.0009604,0.0009604
10,293.278,1.65726,2.5228,1.93047,0.29001,0.35294,0.16227,0.08192,2.13046,3.44253,2.4834,0.00095545,0.00095545,0.00095545
11,320.856,1.60928,2.46124,1.89139,0.35239,0.26258,0.16443,0.07702,2.05659,3.34534,2.37649,0.0009505,0.0009505,0.0009505
12,349.286,1.61301,2.47347,1.89455,0.17228,0.28876,0.19301,0.08599,1.95897,3.15261,2.34043,0.00094555,0.00094555,0.00094555
13,378.602,1.63655,2.38011,1.91686,0.43943,0.2361,0.18071,0.09139,2.07925,3.10283,2.3937,0.0009406,0.0009406,0.0009406
14,408.435,1.57833,2.35202,1.89353,0.51933,0.25149,0.23876,0.1208,2.02174,2.98365,2.32339,0.00093565,0.00093565,0.00093565
15,436.684,1.57425,2.39538,1.8829,0.55939,0.25332,0.18928,0.09506,1.82489,2.8514,2.18793,0.0009307,0.0009307,0.0009307
16,464.455,1.61045,2.34197,1.87675,0.67459,0.16296,0.17457,0.08436,1.96976,2.91059,2.24702,0.00092575,0.00092575,0.00092575
17,492.54,1.56122,2.28071,1.83988,0.71827,0.21111,0.20663,0.12826,1.91779,2.95019,2.186,0.0009208,0.0009208,0.0009208
18,520.676,1.56567,2.31652,1.84581,0.58504,0.31296,0.26436,0.16727,1.74524,2.6322,2.04975,0.00091585,0.00091585,0.00091585
19,549.622,1.58378,2.30333,1.8569,0.62926,0.26173,0.22292,0.13244,1.7391,2.59248,2.0666,0.0009109,0.0009109,0.0009109
20,577.537,1.54141,2.23046,1.82953,0.56646,0.29074,0.25411,0.14574,1.83964,2.58073,2.12356,0.00090595,0.00090595,0.00090595
21,605.472,1.51154,2.22101,1.81554,0.61311,0.27856,0.26614,0.14638,1.73694,2.51233,2.02474,0.000901,0.000901,0.000901
22,634.827,1.54813,2.22203,1.8141,0.21646,0.25864,0.23774,0.13936,1.80902,2.52526,2.07229,0.00089605,0.00089605,0.00089605
23,663.406,1.51966,2.24808,1.80176,0.25758,0.26452,0.24253,0.14299,1.81935,2.4915,2.11598,0.0008911,0.0008911,0.0008911
24,692.233,1.54898,2.20059,1.8326,0.26074,0.26961,0.24208,0.13432,1.83658,2.49492,2.12737,0.00088615,0.00088615,0.00088615
25,720.523,1.51573,2.18619,1.78707,0.20533,0.33973,0.25456,0.13773,1.78719,2.60865,2.08615,0.0008812,0.0008812,0.0008812
