epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.3153,1.84196,6.20946,2.0015,0.14521,0.34355,0.17454,0.11127,1.69039,5.88544,1.82761,0.000196154,0.000196154,0.000196154
2,139.14,1.65855,4.47517,1.86062,0.66944,0.23803,0.1965,0.09,1.82198,5.02173,1.94308,0.000394193,0.000394193,0.000394193
3,208.119,1.71303,4.18035,1.91518,0.41346,0.37513,0.24523,0.10297,1.73619,4.19165,1.98818,0.000590252,0.000590252,0.000590252
4,274.102,1.70019,4.179,1.90931,0.3117,0.29766,0.17529,0.07281,1.90853,4.73899,2.21728,0.000784331,0.000784331,0.000784331
5,342.592,1.74836,4.18261,1.96982,0.37628,0.38432,0.22239,0.10776,1.88715,4.36396,2.13369,0.00097643,0.00097643,0.00097643
6,411.041,1.71833,4.15713,1.93427,0.41698,0.38207,0.23144,0.09688,2.0244,4.47617,2.16104,0.00097525,0.00097525,0.00097525
7,479.787,1.67197,3.96668,1.89657,0.5042,0.25971,0.20151,0.10471,1.76136,4.21683,1.98319,0.0009703,0.0009703,0.0009703
8,547.674,1.69242,3.97454,1.92276,0.17236,0.38961,0.16661,0.08326,1.88793,5.76619,2.07763,0.00096535,0.00096535,0.00096535
9,617.927,1.71301,4.0798,1.96243,0.47495,0.31986,0.24687,0.12277,1.73269,4.02436,2.06408,0.0009604,0.0009604,0.0009604
10,687.775,1.69841,3.95858,1.93937,0.45248,0.25098,0.21184,0.09567,1.93375,4.31359,2.19213,0.00095545,0.00095545,0.00095545
11,756.903,1.6653,3.8744,1.91807,0.51767,0.36737,0.26167,0.1473,1.86061,3.95015,2.09308,0.0009505,0.0009505,0.0009505
12,825.367,1.60522,3.84832,1.87616,0.42605,0.34121,0.26211,0.14035,1.64067,3.88434,1.93013,0.00094555,0.00094555,0.00094555
13,894.421,1.67059,3.91613,1.96652,0.47794,0.45124,0.33353,0.1579,1.75803,3.8475,2.05215,0.0009406,0.0009406,0.0009406
14,964.296,1.60882,3.88013,1.89833,0.49858,0.30636,0.30675,0.14852,1.76419,3.79074,1.96,0.00093565,0.00093565,0.00093565
15,1033.31,1.60494,3.8126,1.87315,0.54196,0.34212,0.32594,0.19549,1.7093,3.58046,1.94118,0.0009307,0.0009307,0.0009307
16,1103.14,1.56938,3.73436,1.84668,0.43836,0.38458,0.28616,0.16129,1.73115,3.84016,1.97977,0.00092575,0.00092575,0.00092575
17,1171.46,1.57576,3.65654,1.85506,0.54458,0.40061,0.34187,0.20545,1.62355,3.68255,1.89628,0.0009208,0.0009208,0.0009208
18,1237.59,1.54881,3.70205,1.8221,0.48573,0.41656,0.33295,0.18694,1.74125,3.89166,2.01133,0.00091585,0.00091585,0.00091585
19,1302.47,1.59721,3.71634,1.85017,0.47134,0.40253,0.30695,0.15868,1.72401,3.88508,1.9793,0.0009109,0.0009109,0.0009109
20,1369.63,1.54423,3.61146,1.83803,0.31439,0.41743,0.35698,0.22573,1.66627,3.37615,1.90893,0.00090595,0.00090595,0.00090595
21,1436.51,1.51263,3.51247,1.79608,0.50271,0.48789,0.38795,0.22955,1.68132,3.39412,1.95042,0.000901,0.000901,0.000901
22,1503.21,1.55353,3.56754,1.8269,0.63611,0.34724,0.35395,0.18748,1.70181,3.71713,1.99909,0.00089605,0.00089605,0.00089605
23,1568.77,1.50427,3.50157,1.80339,0.52522,0.45443,0.38337,0.2259,1.68137,3.62084,1.91121,0.0008911,0.0008911,0.0008911
24,1635.36,1.49885,3.49676,1.77793,0.53295,0.42929,0.3818,0.23834,1.66031,3.36641,1.93961,0.00088615,0.00088615,0.00088615
25,1702.04,1.50823,3.48485,1.7932,0.35844,0.43032,0.37308,0.21147,1.71117,3.37222,1.96597,0.0008812,0.0008812,0.0008812
26,1768.87,1.52155,3.56575,1.81292,0.45832,0.43899,0.35176,0.20311,1.62926,3.42568,1.89107,0.00087625,0.00087625,0.00087625
27,1833.7,1.49606,3.48874,1.79407,0.518,0.3643,0.33582,0.20444,1.75366,3.46884,2.00252,0.0008713,0.0008713,0.0008713
28,1899.6,1.49736,3.42215,1.79578,0.40693,0.36221,0.35786,0.19521,1.80262,3.44868,2.02007,0.00086635,0.00086635,0.00086635
29,1964.99,1.49771,3.3817,1.77344,0.33201,0.43797,0.37227,0.21294,1.60312,3.33631,1.86841,0.0008614,0.0008614,0.0008614
30,2030.59,1.51736,3.38958,1.80463,0.52773,0.42818,0.38441,0.23403,1.62816,3.42203,1.88833,0.00085645,0.00085645,0.00085645
31,2096.8,1.47648,3.43858,1.79945,0.52547,0.39883,0.38234,0.23823,1.60615,3.3283,1.91579,0.0008515,0.0008515,0.0008515
32,2163.5,1.49918,3.41627,1.81438,0.44563,0.36066,0.36569,0.1925,1.78206,3.41021,2.03346,0.00084655,0.00084655,0.00084655
33,2229.37,1.46555,3.42194,1.80624,0.61396,0.35021,0.3626,0.20621,1.58115,3.53703,1.87114,0.0008416,0.0008416,0.0008416
34,2296.29,1.48613,3.36372,1.77687,0.55611,0.38878,0.38196,0.21657,1.66228,3.39926,1.92624,0.00083665,0.00083665,0.00083665
35,2362.26,1.43477,3.25355,1.74601,0.56339,0.45909,0.39503,0.22895,1.63335,3.42866,1.89584,0.0008317,0.0008317,0.0008317
36,2427.84,1.47263,3.31389,1.76698,0.51716,0.44127,0.35126,0.21535,1.69112,3.30072,1.95689,0.00082675,0.00082675,0.00082675
37,2492.77,1.42464,3.24962,1.72931,0.3929,0.40986,0.40351,0.24017,1.64341,3.29378,1.91469,0.0008218,0.0008218,0.0008218
38,2558.03,1.39425,3.22771,1.71558,0.36726,0.41779,0.39073,0.23498,1.66554,3.19935,1.92298,0.00081685,0.00081685,0.00081685
39,2622.56,1.37921,3.16434,1.69503,0.36682,0.47088,0.41388,0.23129,1.77723,3.19438,1.97892,0.0008119,0.0008119,0.0008119
40,2688.16,1.43359,3.21771,1.75794,0.3293,0.44697,0.4132,0.24347,1.62829,3.22491,1.86225,0.00080695,0.00080695,0.00080695
41,2752.81,1.39914,3.17712,1.71574,0.56174,0.43087,0.39484,0.22629,1.69381,3.05634,1.92135,0.000802,0.000802,0.000802
42,2818.68,1.4302,3.16499,1.75597,0.38279,0.39884,0.40095,0.25443,1.61845,3.16562,1.88032,0.00079705,0.00079705,0.00079705
43,2884.85,1.41769,3.12533,1.73306,0.44022,0.35992,0.38085,0.21451,1.70024,3.36854,1.91807,0.0007921,0.0007921,0.0007921
44,2950.67,1.39916,3.10921,1.70928,0.38423,0.44229,0.37892,0.23585,1.54839,3.27898,1.81117,0.00078715,0.00078715,0.00078715
45,3016.88,1.43456,3.17261,1.72536,0.3552,0.42774,0.383,0.23413,1.59949,3.37166,1.87591,0.0007822,0.0007822,0.0007822
46,3083,1.40789,3.08587,1.71358,0.33013,0.44363,0.39066,0.24776,1.5511,3.1194,1.8086,0.00077725,0.00077725,0.00077725
47,3148.5,1.42927,3.06772,1.72734,0.44324,0.37142,0.4066,0.24741,1.57452,3.26604,1.81789,0.0007723,0.0007723,0.0007723
48,3215.94,1.37973,3.0375,1.69289,0.37129,0.44797,0.38054,0.23338,1.61148,3.1123,1.87316,0.00076735,0.00076735,0.00076735
